brick_ID,array,genotype,brick_colour,side,date_1,photo_ID_1,condition_1,area_(cm2)_1,date,photo_ID,condition_2,area_(cm2),days_between_set1_set2,growth_between_set1_set2_area_(cm2),growth_per_day_(cm2),Notes
M1B3B,B,1,3,E,10.19.17,DSCF2609,alive,1.835,06.26.18,DSCF8370,alive,4.361,250,2.526,0.010104,
M1B3B,B,1,3,W,10.19.17,DSCF2611,alive,2.5,06.26.18,DSCF8372,alive,6.006,250,3.506,0.014024,
M1B3B,B,1,3,N,10.19.17,DSCF2608,alive,2.612,06.26.18,DSCF8369,alive,8.876,250,6.264,0.025056,
M1B3B,B,1,3,TOP,10.19.17,DSCF2607,alive,2.928,06.26.18,DSCF8368,alive,14.517,250,11.589,0.046356,
M1B3B,B,1,3,S,10.19.17,DSCF2610,alive,2.401,06.26.18,DSCF8371,dead,NA,250,NA,NA,
M1B3C,C,1,3,E,10.19.17,DSCF2638,alive,1.962,06.26.18,DSCF4597,alive,3.205,250,1.243,0.004972,
M1B3C,C,1,3,N,10.19.17,DSCF2637,alive,2.042,06.26.18,DSCF4596,alive,3.318,250,1.276,0.005104,
M1B3C,C,1,3,W,10.19.17,DSCF2641,alive,2.163,06.26.18,DSCF4599,alive,5.585,250,3.422,0.013688,
M1B3C,C,1,3,S,10.19.17,DSCF2639,alive,2.203,06.26.18,DSCF4598,alive,6.102,250,3.899,0.015596,
M1B3C,C,1,3,TOP,10.19.17,DSCF2636,alive,3.626,06.26.18,DSCF4595,alive,11.295,250,7.669,0.030676,
M1B3D,D,1,3,N,10.19.17,DSCF2647,alive,1.238,06.26.18,DSCF4542,alive,2.685,250,1.447,0.005788,
M1B3D,D,1,3,E,10.19.17,DSCF2649,alive,0.786,06.26.18,DSCF4543,alive,3.402,250,2.616,0.010464,
M1B3D,D,1,3,S,10.19.17,DSCF2650,alive,2.203,06.26.18,DSCF4544,alive,5.389,250,3.186,0.012744,
M1B3D,D,1,3,W,10.19.17,DSCF2651,alive,1.315,06.26.18,DSCF4546,alive,4.889,250,3.574,0.014296,
M1B3D,D,1,3,TOP,10.19.17,DSCF2646,alive,2.153,06.26.18,DSCF4541,alive,7.107,250,4.954,0.019816,
M2B1A,A,2,1,W,10.19.17,DSCF2691,alive,0.984,06.26.18,DSCF8304,alive,3.116,250,2.132,0.008528,
M2B1A,A,2,1,S,10.19.17,DSCF2690,alive,2.116,06.26.18,DSCF8303,alive,5.727,250,3.611,0.014444,
M2B1A,A,2,1,E,10.19.17,DSCF2689,alive,1.892,06.26.18,DSCF8302,alive,6.639,250,4.747,0.018988,
M2B1A,A,2,1,N,10.19.17,DSCF2688,alive,2.965,06.26.18,DSCF8301,alive,8.672,250,5.707,0.022828,
M2B1A,A,2,1,TOP,10.19.17,DSCF2687,alive,2.229,06.26.18,DSCF8300,alive,10.949,250,8.72,0.03488,
M2B1B,B,2,1,S,10.19.17,DSCF2671,alive,3.007,06.26.18,DSCF8366,alive,4.949,250,1.942,0.007768,
M2B1B,B,2,1,E,10.19.17,DSCF2670,alive,2.008,06.26.18,DSCF8365,alive,5.178,250,3.17,0.01268,
M2B1B,B,2,1,N,10.19.17,DSCF2669,alive,1.788,06.26.18,DSCF8364,alive,5.798,250,4.01,0.01604,
M2B1B,B,2,1,TOP,10.19.17,DSCF2668,alive,2.497,06.26.18,DSCF8363,alive,10.099,250,7.602,0.030408,
M2B1B,B,2,1,W,10.19.17,DSCF2673,alive,0.551,06.26.18,DSCF8367,dead,NA,250,NA,NA,
M2B1C,C,2,1,S,10.19.17,DSCF2715,alive,1.26,06.26.18,DSCF4614,alive,1.615,250,0.355,0.00142,
M2B1C,C,2,1,N,10.19.17,DSCF2712,alive,1.859,06.26.18,DSCF4612,alive,3.599,250,1.74,0.00696,
M2B1C,C,2,1,W,10.19.17,DSCF2716,alive,1.46,06.26.18,DSCF4615,alive,4.041,250,2.581,0.010324,
M2B1C,C,2,1,E,10.19.17,DSCF2714,alive,1.917,06.26.18,DSCF4613,alive,4.777,250,2.86,0.01144,
M2B1C,C,2,1,TOP,10.19.17,DSCF2711,alive,1.649,06.26.18,DSCF4611,alive,5.175,250,3.526,0.014104,
M2B1D,D,2,1,N,10.19.17,DSCF2734,alive,1.012,06.26.18,DSCF4537,alive,2.104,250,1.092,0.004368,
M2B1D,D,2,1,W,10.19.17,DSCF2738,alive,0.878,06.26.18,DSCF4540,alive,2.03,250,1.152,0.004608,
M2B1D,D,2,1,S,10.19.17,DSCF2737,alive,0.739,06.26.18,DSCF4539,alive,2.267,250,1.528,0.006112,
M2B1D,D,2,1,E,10.19.17,DSCF2736,alive,1.242,06.26.18,DSCF4538,alive,5.337,250,4.095,0.01638,
M2B1D,D,2,1,TOP,10.19.17,DSCF2733,alive,1.031,06.26.18,DSCF4536,alive,5.438,250,4.407,0.017628,
M2B2A,A,2,2,S,10.19.17,DSCF2703,alive,0.739,06.26.18,DSCF8297,alive,1.319,250,0.58,0.00232,
M2B2A,A,2,2,W,10.19.17,DSCF2704,alive,0.759,06.26.18,DSCF8298,alive,1.679,250,0.92,0.00368,
M2B2A,A,2,2,N,10.19.17,DSCF2701,alive,1.222,06.26.18,DSCF8295,alive,4.154,250,2.932,0.011728,
M2B2A,A,2,2,TOP,10.19.17,DSCF2700,alive,1.713,06.26.18,DSCF8294,alive,5.966,250,4.253,0.017012,
M2B2A,A,2,2,E,10.19.17,DSCF2702,alive,3.189,06.26.18,DSCF8296,alive,7.79,250,4.601,0.018404,
M2B2B,B,2,2,W,10.19.17,DSCF2697,alive,0.76,06.26.18,DSCF8361,alive,2.075,250,1.315,0.00526,
M2B2B,B,2,2,N,10.19.17,DSCF2694,alive,1.331,06.26.18,DSCF8358,alive,4.605,250,3.274,0.013096,
M2B2B,B,2,2,S,10.19.17,DSCF2696,alive,1.108,06.26.18,DSCF8360,alive,4.845,250,3.737,0.014948,
M2B2B,B,2,2,E,10.19.17,DSCF2695,alive,1.135,06.26.18,DSCF8359,alive,5.453,250,4.318,0.017272,
