brick_id,array,genotype,brick_colour,side,condition_1,area_(cm2)_1,condition_2,area_(cm2),growth,growth_per_day
M3B3B,B,3,3,S,alive,3.028,alive,11.936,8.908,0.035632
M3B3C,C,3,3,E,alive,2.267,alive,4.713,2.446,0.009784
M3B3C,C,3,3,N,alive,3.263,alive,7.147,3.884,0.015536
M3B3C,C,3,3,S,alive,1.954,alive,6.033,4.079,0.016316
M3B3C,C,3,3,TOP,alive,3.779,alive,8.012,4.233,0.016932
M3B3C,C,3,3,W,alive,2.665,alive,7.927,5.262,0.021048
M3B3D,D,3,3,N,alive,1.688,alive,3.327,1.639,0.006556
M3B3D,D,3,3,W,alive,2.514,alive,7.43,4.916,0.019664
M3B3D,D,3,3,S,alive,2.02,alive,7.492,5.472,0.021888
M3B3D,D,3,3,E,alive,2.129,alive,7.859,5.73,0.02292
M3B3D,D,3,3,TOP,alive,4.129,alive,10.783,6.654,0.026616
